voucher_no,voucher_date,supplier_id,supplier_name,product_id,stock_item,pack,qty,unit,rate,discount_pct,taxable_amount,gst_amount,invoice_amount,godown
PUR000485,2025-01-01,SUP006,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,364,PCS,17.97,0.0,6541.08,1177.39,7718.47,Main Godown
PUR000486,2025-01-29,SUP007,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,194,PCS,18.05,0.0,3501.7,630.31,4132.01,Main Godown
PUR000487,2025-02-21,SUP008,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,227,PCS,17.94,3.0,3950.21,711.04,4661.25,Main Godown
PUR000488,2025-03-27,SUP009,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,5,PCS,18.14,0.0,90.7,16.33,107.03,Main Godown
PUR000489,2025-04-20,SUP010,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,168,PCS,18.15,0.0,3049.2,548.86,3598.06,Tonk Branch
PUR000490,2025-05-31,SUP011,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,113,PCS,17.96,3.0,1968.6,354.35,2322.95,Tonk Branch
PUR000491,2025-06-18,SUP012,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,366,PCS,18.03,1.0,6532.99,1175.94,7708.93,Main Godown
PUR000492,2025-07-27,SUP013,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,236,PCS,18.06,0.0,4262.16,767.19,5029.35,Main Godown
PUR000493,2025-09-01,SUP014,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,203,PCS,18.16,1.0,3649.62,656.93,4306.55,Tonk Branch
PUR000494,2025-09-17,SUP015,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,504,PCS,18.06,3.0,8829.17,1589.25,10418.42,Tonk Branch
PUR000495,2025-10-31,SUP001,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,294,PCS,18.17,3.0,5181.72,932.71,6114.43,Main Godown
PUR000496,2025-11-28,SUP002,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,467,PCS,17.93,3.0,8122.11,1461.98,9584.09,Tonk Branch
PUR000497,2026-01-01,SUP003,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,220,PCS,18.16,0.0,3995.2,719.14,4714.34,Main Godown
PUR000498,2026-01-22,SUP004,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,268,PCS,17.92,0.0,4802.56,864.46,5667.02,Main Godown
PUR000499,2026-02-20,SUP005,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,337,PCS,17.95,2.0,5928.17,1067.07,6995.24,Main Godown
PUR000500,2026-03-22,SUP006,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,234,PCS,18.07,2.0,4143.81,745.89,4889.7,Main Godown
PUR000501,2026-04-28,SUP007,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,235,PCS,18.02,0.0,4234.7,762.25,4996.95,Tonk Branch
PUR000502,2026-05-26,SUP008,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,333,PCS,17.93,0.0,5970.69,1074.72,7045.41,Main Godown
PUR000503,2026-06-27,SUP009,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,120,PCS,18.07,3.0,2103.35,378.6,2481.95,Tonk Branch
PUR000504,2026-07-27,SUP010,HUL Distributor Ajmer,PRD0021,Lifebuoy Soap,100g,342,PCS,18.13,0.0,6200.46,1116.08,7316.54,Tonk Branch
PUR000505,2024-09-01,SUP011,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,139,PCS,42.29,0.0,5878.31,1058.1,6936.41,Main Godown
PUR000506,2024-09-22,SUP012,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,249,PCS,41.97,1.0,10346.02,1862.28,12208.3,Main Godown
PUR000507,2024-10-18,SUP013,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,201,PCS,42.08,3.0,8204.34,1476.78,9681.12,Tonk Branch
PUR000508,2024-12-01,SUP014,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,125,PCS,41.87,3.0,5076.74,913.81,5990.55,Main Godown
PUR000509,2024-12-24,SUP015,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,246,PCS,41.82,2.0,10081.97,1814.75,11896.72,Main Godown
PUR000510,2025-01-28,SUP001,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,124,PCS,41.8,2.0,5079.54,914.32,5993.86,Main Godown
PUR000511,2025-02-28,SUP002,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,231,PCS,42.06,1.0,9618.7,1731.37,11350.07,Main Godown
PUR000512,2025-03-30,SUP003,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,458,PCS,42.27,0.0,19359.66,3484.74,22844.4,Tonk Branch
PUR000513,2025-04-23,SUP004,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,266,PCS,42.22,3.0,10893.6,1960.85,12854.45,Main Godown
PUR000514,2025-05-18,SUP005,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,274,PCS,42.15,0.0,11549.1,2078.84,13627.94,Main Godown
PUR000515,2025-06-29,SUP006,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,228,PCS,42.01,0.0,9578.28,1724.09,11302.37,Tonk Branch
PUR000516,2025-07-18,SUP007,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,261,PCS,42.19,0.0,11011.59,1982.09,12993.68,Tonk Branch
PUR000517,2025-08-26,SUP008,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,308,PCS,42.18,3.0,12601.7,2268.31,14870.01,Main Godown
PUR000518,2025-09-25,SUP009,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,311,PCS,42.35,2.0,12907.43,2323.34,15230.77,Tonk Branch
PUR000519,2025-10-19,SUP010,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,231,PCS,42.23,3.0,9462.48,1703.25,11165.73,Tonk Branch
PUR000520,2025-11-30,SUP011,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,194,PCS,42.41,1.0,8145.26,1466.15,9611.41,Tonk Branch
PUR000521,2025-12-23,SUP012,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,118,PCS,41.86,0.0,4939.48,889.11,5828.59,Main Godown
PUR000522,2026-01-31,SUP013,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,256,PCS,41.99,3.0,10426.96,1876.85,12303.81,Main Godown
PUR000523,2026-02-27,SUP014,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,242,PCS,41.98,2.0,9955.98,1792.08,11748.06,Main Godown
PUR000524,2026-03-21,SUP015,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,182,PCS,42.4,1.0,7639.63,1375.13,9014.76,Main Godown
PUR000525,2026-04-26,SUP001,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,314,PCS,41.87,3.0,12752.76,2295.5,15048.26,Tonk Branch
PUR000526,2026-05-24,SUP002,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,238,PCS,41.8,1.0,9848.92,1772.81,11621.73,Tonk Branch
PUR000527,2026-06-29,SUP003,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,241,PCS,42.34,0.0,10203.94,1836.71,12040.65,Main Godown
PUR000528,2026-07-27,SUP004,HUL Distributor Ajmer,PRD0022,Dove Soap,75g,360,PCS,41.89,1.0,14929.6,2687.33,17616.93,Main Godown
PUR000529,2024-09-01,SUP005,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,160,PCS,117.5,0.0,18800.0,3384.0,22184.0,Main Godown
PUR000530,2024-10-01,SUP006,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,265,PCS,117.58,3.0,30223.94,5440.31,35664.25,Main Godown
PUR000531,2024-10-29,SUP007,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,134,PCS,119.15,0.0,15966.1,2873.9,18840.0,Tonk Branch
PUR000532,2024-11-23,SUP008,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,239,PCS,118.25,1.0,27979.13,5036.24,33015.37,Main Godown
PUR000533,2024-12-31,SUP009,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,193,PCS,118.58,3.0,22199.36,3995.88,26195.24,Tonk Branch
PUR000534,2025-01-28,SUP010,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,276,PCS,119.06,0.0,32860.56,5914.9,38775.46,Tonk Branch
PUR000535,2025-02-22,SUP011,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,211,PCS,117.9,1.0,24628.13,4433.06,29061.19,Tonk Branch
PUR000536,2025-03-19,SUP012,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,140,PCS,118.69,2.0,16284.27,2931.17,19215.44,Main Godown
PUR000537,2025-04-30,SUP013,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,185,PCS,118.87,0.0,21990.95,3958.37,25949.32,Main Godown
PUR000538,2025-05-26,SUP014,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,185,PCS,119.01,1.0,21796.68,3923.4,25720.08,Main Godown
PUR000539,2025-06-23,SUP015,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,164,PCS,118.25,3.0,18811.21,3386.02,22197.23,Main Godown
PUR000540,2025-07-19,SUP001,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,86,PCS,118.63,0.0,10202.18,1836.39,12038.57,Main Godown
PUR000541,2025-08-24,SUP002,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,200,PCS,118.38,3.0,22965.72,4133.83,27099.55,Main Godown
PUR000542,2025-09-29,SUP003,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,290,PCS,118.84,1.0,34118.96,6141.41,40260.37,Main Godown
PUR000543,2025-10-27,SUP004,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,170,PCS,118.25,0.0,20102.5,3618.45,23720.95,Main Godown
PUR000544,2025-11-23,SUP005,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,356,PCS,117.56,2.0,41014.33,7382.58,48396.91,Tonk Branch
PUR000545,2025-12-27,SUP006,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,132,PCS,117.82,3.0,15085.67,2715.42,17801.09,Tonk Branch
PUR000546,2026-01-27,SUP007,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,156,PCS,118.66,3.0,17955.63,3232.01,21187.64,Tonk Branch
PUR000547,2026-02-27,SUP008,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,372,PCS,117.46,3.0,42384.27,7629.17,50013.44,Main Godown
PUR000548,2026-03-24,SUP009,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,461,PCS,118.76,2.0,53653.39,9657.61,63311.0,Tonk Branch
PUR000549,2026-04-28,SUP010,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,437,PCS,118.71,1.0,51357.51,9244.35,60601.86,Tonk Branch
PUR000550,2026-05-27,SUP011,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,83,PCS,118.87,1.0,9767.55,1758.16,11525.71,Tonk Branch
PUR000551,2026-06-21,SUP012,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,267,PCS,117.94,2.0,30860.18,5554.83,36415.01,Tonk Branch
PUR000552,2026-07-27,SUP013,P&G Sub-Distributor Tonk,PRD0023,Head & Shoulders Shampoo,180ml,177,PCS,118.37,2.0,20532.46,3695.84,24228.3,Main Godown
PUR000553,2024-09-01,SUP014,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,130,PCS,51.43,0.0,6685.9,1203.46,7889.36,Main Godown
PUR000554,2024-09-19,SUP015,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,275,PCS,51.2,0.0,14080.0,2534.4,16614.4,Main Godown
PUR000555,2024-10-27,SUP001,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,180,PCS,50.79,3.0,8867.93,1596.23,10464.16,Tonk Branch
PUR000556,2024-11-18,SUP002,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,290,PCS,50.85,1.0,14599.03,2627.83,17226.86,Main Godown
PUR000557,2024-12-24,SUP003,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,325,PCS,51.29,0.0,16669.25,3000.47,19669.72,Main Godown
PUR000558,2025-01-24,SUP004,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,512,PCS,51.1,3.0,25378.3,4568.09,29946.39,Main Godown
PUR000559,2025-02-24,SUP005,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,81,PCS,50.78,2.0,4030.92,725.57,4756.49,Tonk Branch
PUR000560,2025-03-27,SUP006,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,149,PCS,51.25,1.0,7559.89,1360.78,8920.67,Main Godown
PUR000561,2025-04-28,SUP007,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,450,PCS,51.28,0.0,23076.0,4153.68,27229.68,Main Godown
PUR000562,2025-05-28,SUP008,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,439,PCS,50.92,1.0,22130.34,3983.46,26113.8,Main Godown
PUR000563,2025-06-27,SUP009,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,192,PCS,50.99,0.0,9790.08,1762.21,11552.29,Main Godown
PUR000564,2025-07-31,SUP010,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,237,PCS,51.0,1.0,11966.13,2153.9,14120.03,Tonk Branch
PUR000565,2025-08-30,SUP011,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,180,PCS,51.48,3.0,8988.41,1617.91,10606.32,Main Godown
PUR000566,2025-09-30,SUP012,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,519,PCS,51.24,2.0,26061.69,4691.1,30752.79,Main Godown
PUR000567,2025-10-28,SUP013,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,79,PCS,51.12,3.0,3917.33,705.12,4622.45,Tonk Branch
PUR000568,2025-11-27,SUP014,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,206,PCS,51.21,2.0,10338.27,1860.89,12199.16,Main Godown
PUR000569,2025-12-23,SUP015,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,185,PCS,51.44,2.0,9326.07,1678.69,11004.76,Tonk Branch
PUR000570,2026-01-24,SUP001,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,92,PCS,50.96,3.0,4547.67,818.58,5366.25,Main Godown
PUR000571,2026-02-19,SUP002,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,269,PCS,51.04,1.0,13592.46,2446.64,16039.1,Main Godown
PUR000572,2026-03-25,SUP003,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,193,PCS,51.41,0.0,9922.13,1785.98,11708.11,Tonk Branch
PUR000573,2026-04-19,SUP004,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,269,PCS,51.12,0.0,13751.28,2475.23,16226.51,Tonk Branch
PUR000574,2026-05-22,SUP005,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,207,PCS,50.8,2.0,10305.29,1854.95,12160.24,Tonk Branch
PUR000575,2026-06-27,SUP006,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,241,PCS,50.91,1.0,12146.62,2186.39,14333.01,Main Godown
PUR000576,2026-07-24,SUP007,HUL Distributor Ajmer,PRD0024,Clinic Plus Shampoo,175ml,156,PCS,51.49,2.0,7871.79,1416.92,9288.71,Main Godown
PUR000577,2024-09-01,SUP008,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,374,PCS,126.14,3.0,45761.07,8236.99,53998.06,Main Godown
PUR000578,2024-09-25,SUP009,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,437,PCS,125.55,1.0,54316.7,9777.01,64093.71,Tonk Branch
PUR000579,2024-10-21,SUP010,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,155,PCS,125.87,0.0,19509.85,3511.77,23021.62,Tonk Branch
PUR000580,2024-11-17,SUP011,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,123,PCS,124.99,1.0,15220.03,2739.61,17959.64,Tonk Branch
PUR000581,2024-12-28,SUP012,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,243,PCS,125.36,0.0,30462.48,5483.25,35945.73,Main Godown
PUR000582,2025-01-29,SUP013,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,166,PCS,125.24,1.0,20581.94,3704.75,24286.69,Tonk Branch
PUR000583,2025-02-17,SUP014,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,162,PCS,125.11,0.0,20267.82,3648.21,23916.03,Tonk Branch
PUR000584,2025-03-22,SUP015,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,291,PCS,125.51,1.0,36158.18,6508.47,42666.65,Main Godown
PUR000585,2025-04-20,SUP001,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,80,PCS,125.07,2.0,9805.49,1764.99,11570.48,Tonk Branch
PUR000586,2025-05-20,SUP002,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,175,PCS,125.85,2.0,21583.27,3884.99,25468.26,Tonk Branch
PUR000587,2025-07-01,SUP003,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,474,PCS,126.12,0.0,59780.88,10760.56,70541.44,Main Godown
PUR000588,2025-07-31,SUP004,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,325,PCS,125.96,0.0,40937.0,7368.66,48305.66,Main Godown
PUR000589,2025-08-31,SUP005,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,151,PCS,124.55,0.0,18807.05,3385.27,22192.32,Tonk Branch
PUR000590,2025-09-24,SUP006,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,453,PCS,124.59,0.0,56439.27,10159.07,66598.34,Main Godown
PUR000591,2025-10-23,SUP007,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,425,PCS,125.58,2.0,52304.07,9414.73,61718.8,Tonk Branch
PUR000592,2025-11-25,SUP008,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,272,PCS,125.78,2.0,33527.92,6035.03,39562.95,Tonk Branch
PUR000593,2025-12-24,SUP009,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,203,PCS,125.02,0.0,25379.06,4568.23,29947.29,Main Godown
PUR000594,2026-01-19,SUP010,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,373,PCS,124.69,0.0,46509.37,8371.69,54881.06,Tonk Branch
PUR000595,2026-02-21,SUP011,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,264,PCS,125.25,1.0,32735.34,5892.36,38627.7,Tonk Branch
PUR000596,2026-03-22,SUP012,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,252,PCS,125.65,0.0,31663.8,5699.48,37363.28,Main Godown
PUR000597,2026-04-17,SUP013,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,163,PCS,126.14,0.0,20560.82,3700.95,24261.77,Tonk Branch
PUR000598,2026-05-19,SUP014,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,223,PCS,125.44,2.0,27413.66,4934.46,32348.12,Main Godown
PUR000599,2026-06-28,SUP015,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,292,PCS,125.81,0.0,36736.52,6612.57,43349.09,Main Godown
PUR000600,2026-07-20,SUP001,P&G Sub-Distributor Tonk,PRD0025,Pantene Shampoo,180ml,178,PCS,124.82,2.0,21773.6,3919.25,25692.85,Main Godown
PUR000601,2024-09-01,SUP002,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,332,PCS,75.38,3.0,24275.38,4369.57,28644.95,Main Godown
PUR000602,2024-09-19,SUP003,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,474,PCS,75.27,2.0,34964.42,6293.6,41258.02,Tonk Branch
PUR000603,2024-10-27,SUP004,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,215,PCS,74.8,1.0,15921.18,2865.81,18786.99,Main Godown
PUR000604,2024-11-20,SUP005,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,446,PCS,74.9,3.0,32403.24,5832.58,38235.82,Main Godown
PUR000605,2024-12-24,SUP006,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,167,PCS,74.93,3.0,12137.91,2184.82,14322.73,Tonk Branch
PUR000606,2025-01-21,SUP007,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,340,PCS,74.78,0.0,25425.2,4576.54,30001.74,Main Godown
PUR000607,2025-03-01,SUP008,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,188,PCS,75.63,3.0,13791.89,2482.54,16274.43,Main Godown
PUR000608,2025-03-21,SUP009,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,240,PCS,75.22,0.0,18052.8,3249.5,21302.3,Main Godown
PUR000609,2025-04-28,SUP010,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,287,PCS,74.96,2.0,21083.25,3794.99,24878.24,Tonk Branch
PUR000610,2025-05-23,SUP011,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,334,PCS,74.66,1.0,24687.08,4443.67,29130.75,Main Godown
PUR000611,2025-06-19,SUP012,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,175,PCS,75.61,2.0,12967.11,2334.08,15301.19,Main Godown
PUR000612,2025-07-20,SUP013,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,99,PCS,75.38,0.0,7462.62,1343.27,8805.89,Tonk Branch
PUR000613,2025-08-21,SUP014,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,108,PCS,74.8,3.0,7836.05,1410.49,9246.54,Main Godown
PUR000614,2025-09-30,SUP015,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,216,PCS,74.83,3.0,15678.38,2822.11,18500.49,Main Godown
PUR000615,2025-10-18,SUP001,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,112,PCS,75.52,2.0,8289.08,1492.03,9781.11,Main Godown
PUR000616,2025-11-25,SUP002,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,217,PCS,75.43,0.0,16368.31,2946.3,19314.61,Main Godown
PUR000617,2025-12-30,SUP003,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,124,PCS,75.62,1.0,9283.11,1670.96,10954.07,Main Godown
PUR000618,2026-01-25,SUP004,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,105,PCS,75.69,3.0,7709.03,1387.63,9096.66,Tonk Branch
PUR000619,2026-02-26,SUP005,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,233,PCS,75.61,0.0,17617.13,3171.08,20788.21,Tonk Branch
PUR000620,2026-03-28,SUP006,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,240,PCS,75.36,0.0,18086.4,3255.55,21341.95,Main Godown
PUR000621,2026-04-29,SUP007,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,242,PCS,74.67,1.0,17889.44,3220.1,21109.54,Main Godown
PUR000622,2026-05-20,SUP008,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,370,PCS,75.45,0.0,27916.5,5024.97,32941.47,Tonk Branch
PUR000623,2026-07-01,SUP009,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,302,PCS,74.86,2.0,22155.57,3988.0,26143.57,Main Godown
PUR000624,2026-07-29,SUP010,Marico Industries,PRD0026,Parachute Coconut Oil,500ml,337,PCS,75.05,2.0,24786.01,4461.48,29247.49,Main Godown
PUR000625,2024-09-01,SUP011,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,37,PCS,68.44,0.0,2532.28,455.81,2988.09,Main Godown
PUR000626,2024-09-25,SUP012,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,319,PCS,68.21,2.0,21323.81,3838.29,25162.1,Main Godown
PUR000627,2024-10-31,SUP013,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,417,PCS,68.01,2.0,27792.97,5002.73,32795.7,Main Godown
PUR000628,2024-11-24,SUP014,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,120,PCS,67.78,0.0,8133.6,1464.05,9597.65,Main Godown
PUR000629,2024-12-24,SUP015,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,190,PCS,68.02,3.0,12536.09,2256.5,14792.59,Tonk Branch
PUR000630,2025-01-28,SUP001,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,216,PCS,67.88,2.0,14368.84,2586.39,16955.23,Main Godown
PUR000631,2025-02-25,SUP002,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,363,PCS,68.33,2.0,24307.71,4375.39,28683.1,Tonk Branch
PUR000632,2025-03-21,SUP003,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,281,PCS,68.63,1.0,19092.18,3436.59,22528.77,Main Godown
PUR000633,2025-04-30,SUP004,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,67,PCS,68.64,0.0,4598.88,827.8,5426.68,Main Godown
PUR000634,2025-05-21,SUP005,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,222,PCS,67.83,0.0,15058.26,2710.49,17768.75,Main Godown
PUR000635,2025-06-20,SUP006,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,319,PCS,68.51,1.0,21636.14,3894.51,25530.65,Main Godown
PUR000636,2025-07-19,SUP007,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,138,PCS,67.74,0.0,9348.12,1682.66,11030.78,Tonk Branch
PUR000637,2025-09-01,SUP008,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,401,PCS,68.67,3.0,26710.57,4807.9,31518.47,Main Godown
PUR000638,2025-09-25,SUP009,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,372,PCS,68.49,0.0,25478.28,4586.09,30064.37,Tonk Branch
PUR000639,2025-10-28,SUP010,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,407,PCS,68.25,0.0,27777.75,4999.99,32777.74,Tonk Branch
PUR000640,2025-11-21,SUP011,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,302,PCS,67.97,0.0,20526.94,3694.85,24221.79,Tonk Branch
PUR000641,2025-12-20,SUP012,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,141,PCS,68.29,2.0,9436.31,1698.54,11134.85,Tonk Branch
PUR000642,2026-01-31,SUP013,Dabur India Jaipur,PRD0027,Dabur Amla Hair Oil,500ml,243,PCS,67.92,2.0,16174.47,2911.4,19085.87,Main Godown
