voucher_no,voucher_date,customer_id,party_name,place,product_id,stock_item,pack,qty,unit,rate_cost,rate_sale,discount_pct,taxable_amount,gst_amount,invoice_amount,godown,salesman_name,voucher_type
SAL000911,2024-09-19,CUST0011,Bansal Brothers,Deoli,PRD0009,Thumbs Up Cola,750ml,22,PCS,30.57,42.0,0.0,924.0,110.88,11273.85,Tonk Branch,Rakesh Singh,Sales
SAL000911,2024-09-19,CUST0011,Bansal Brothers,Deoli,PRD0094,Amul Cone Ice Cream,65ml,4,PCS,22.18,32.0,0.0,128.0,6.4,11273.85,Tonk Branch,Rakesh Singh,Sales
SAL000911,2024-09-19,CUST0011,Bansal Brothers,Deoli,PRD0115,Dynamo Liquid Detergent,1L,14,PCS,116.53,170.0,0.0,2380.0,285.6,11273.85,Main Godown,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0133,Mortein Insect Spray,300ml,13,PCS,143.11,215.0,5.0,2655.25,318.63,11017.49,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0008,Slice Mango Drink,600ml,19,PCS,28.28,40.0,0.0,760.0,91.2,11017.49,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0113,Aquaguard Filter Candle,1pc,9,PCS,145.67,210.0,2.0,1852.2,222.26,11017.49,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0011,Sprite,750ml,37,PCS,28.51,40.0,3.0,1435.6,172.27,11017.49,Main Godown,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0063,Monaco Biscuit,250g,15,PCS,28.27,40.0,0.0,600.0,72.0,11017.49,Tonk Branch,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0020,Lux Beauty Soap,100g,24,PCS,22.15,35.0,0.0,840.0,151.2,11017.49,Tonk Branch,Rakesh Singh,Sales
SAL000915,2024-10-28,CUST0011,Bansal Brothers,Deoli,PRD0069,Dairy Milk Chocolate,40g,34,PCS,35.19,50.0,3.0,1649.0,197.88,11017.49,Tonk Branch,Rakesh Singh,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0049,Exo Dishwash Bar,200g,16,PCS,15.15,22.0,0.0,352.0,42.24,13410.99,Main Godown,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0063,Monaco Biscuit,250g,21,PCS,28.12,40.0,0.0,840.0,100.8,13410.99,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0010,Limca Lemon,750ml,17,PCS,28.45,40.0,7.0,632.4,75.89,13410.99,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0095,Havmor Ice Cream,500ml,37,PCS,96.29,130.0,3.0,4665.7,233.28,13410.99,Tonk Branch,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0131,Harpic Bathroom Cleaner,500ml,28,PCS,79.35,120.0,0.0,3360.0,604.8,13410.99,Tonk Branch,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0123,Ruchi Soya Oil,1L,13,PCS,121.56,165.0,3.0,2080.65,104.03,13410.99,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000918,2024-10-21,CUST0011,Bansal Brothers,Deoli,PRD0134,Colin Multipurpose Cleaner,500ml,3,PCS,63.08,95.0,0.0,285.0,34.2,13410.99,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000921,2024-10-07,CUST0011,Bansal Brothers,Deoli,PRD0018,Pepsodent Toothpaste,200g,40,PCS,55.93,82.0,0.0,3280.0,590.4,4273.6,Main Godown,Arun Gupta,Sales
SAL000921,2024-10-07,CUST0011,Bansal Brothers,Deoli,PRD0088,Mother Dairy Curd,400g,8,PCS,35.07,48.0,0.0,384.0,19.2,4273.6,Tonk Branch,Arun Gupta,Sales
SAL000923,2024-12-23,CUST0011,Bansal Brothers,Deoli,PRD0026,Parachute Coconut Oil,500ml,32,PCS,75.14,110.0,3.0,3414.4,614.59,5144.73,Main Godown,Rakesh Singh,Sales
SAL000923,2024-12-23,CUST0011,Bansal Brothers,Deoli,PRD0087,Amul Dahi,400g,8,PCS,38.55,50.0,0.0,400.0,20.0,5144.73,Tonk Branch,Rakesh Singh,Sales
SAL000923,2024-12-23,CUST0011,Bansal Brothers,Deoli,PRD0011,Sprite,750ml,11,PCS,28.17,40.0,2.0,431.2,51.74,5144.73,Main Godown,Rakesh Singh,Sales
SAL000923,2024-12-23,CUST0011,Bansal Brothers,Deoli,PRD0058,Haldiram Bhujia,200g,2,PCS,65.67,95.0,0.0,190.0,22.8,5144.73,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0118,Castrol Oil,1L,47,PCS,248.05,360.0,5.0,16074.0,2893.32,28846.36,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0026,Parachute Coconut Oil,500ml,36,PCS,75.27,110.0,0.0,3960.0,712.8,28846.36,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0001,Brooke Bond Red Label Tea,250g,5,PCS,95.41,130.0,10.0,585.0,70.2,28846.36,Main Godown,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0075,Tata Salt,1kg,16,PCS,18.3,24.0,0.0,384.0,19.2,28846.36,Main Godown,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0078,Everest Garam Masala,100g,39,PCS,55.07,75.0,7.0,2720.25,136.01,28846.36,Main Godown,Rakesh Singh,Sales
SAL000924,2024-12-26,CUST0011,Bansal Brothers,Deoli,PRD0120,Battery Eveready AA,2pcs,20,PCS,42.25,62.0,7.0,1153.2,138.38,28846.36,Tonk Branch,Rakesh Singh,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0078,Everest Garam Masala,100g,4,PCS,55.09,75.0,0.0,300.0,15.0,9158.67,Tonk Branch,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0015,Tropicana Orange Juice,1L,24,PCS,77.72,110.0,0.0,2640.0,316.8,9158.67,Tonk Branch,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0029,Gillette Mach3 Razor,2pcs,13,PCS,96.19,145.0,0.0,1885.0,339.3,9158.67,Tonk Branch,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0127,Jim Jam Biscuit,150g,3,PCS,22.01,32.0,0.0,96.0,11.52,9158.67,Tonk Branch,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0043,Scotch Brite Scrub,1pc,43,PCS,22.27,35.0,2.0,1474.9,176.99,9158.67,Main Godown,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0013,Pepsi,750ml,2,PCS,28.26,40.0,0.0,80.0,9.6,9158.67,Main Godown,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0101,Vicks VapoRub,50ml,6,PCS,97.37,148.0,0.0,888.0,106.56,9158.67,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000929,2025-02-22,CUST0011,Bansal Brothers,Deoli,PRD0073,Saffola Gold Oil,1L,4,PCS,145.5,195.0,0.0,780.0,39.0,9158.67,Tonk Branch,Arun Gupta,Sales
SAL000930,2025-02-26,CUST0011,Bansal Brothers,Deoli,PRD0074,Fortune Sunflower Oil,1L,42,PCS,125.65,170.0,3.0,6925.8,346.29,16156.13,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000930,2025-02-26,CUST0011,Bansal Brothers,Deoli,PRD0002,Tata Tea Gold,500g,29,PCS,191.4,260.0,3.0,7313.8,877.66,16156.13,Tonk Branch,Rakesh Singh,Sales
SAL000930,2025-02-26,CUST0011,Bansal Brothers,Deoli,PRD0104,Pudin Hara,20ml,17,PCS,28.54,40.0,3.0,659.6,32.98,16156.13,Tonk Branch,Rakesh Singh,Sales
SAL000932,2025-03-04,CUST0011,Bansal Brothers,Deoli,PRD0013,Pepsi,750ml,34,PCS,28.35,40.0,0.0,1360.0,163.2,6586.86,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000932,2025-03-04,CUST0011,Bansal Brothers,Deoli,PRD0075,Tata Salt,1kg,11,PCS,18.2,24.0,0.0,264.0,13.2,6586.86,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000932,2025-03-04,CUST0011,Bansal Brothers,Deoli,PRD0129,Nutrichoice Biscuit,100g,29,PCS,35.56,52.0,0.0,1508.0,180.96,6586.86,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000932,2025-03-04,CUST0011,Bansal Brothers,Deoli,PRD0087,Amul Dahi,400g,59,PCS,38.17,50.0,0.0,2950.0,147.5,6586.86,Tonk Branch,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0031,Nivea Cream,200ml,49,PCS,149.84,220.0,10.0,9702.0,1746.36,37848.58,Tonk Branch,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0033,Ponds Talcum Powder,300g,36,PCS,95.81,145.0,0.0,5220.0,939.6,37848.58,Tonk Branch,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0022,Dove Soap,75g,27,PCS,42.76,65.0,0.0,1755.0,315.9,37848.58,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0117,Pidilite M-Seal,50g,35,PCS,48.76,72.0,0.0,2520.0,453.6,37848.58,Main Godown,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0121,Sarpan Hybrid Seeds,500g,31,PCS,187.27,260.0,0.0,8060.0,403.0,37848.58,Main Godown,Rakesh Singh,Sales
SAL000935,2025-03-20,CUST0011,Bansal Brothers,Deoli,PRD0122,Parle Groundnut Oil,1L,45,PCS,111.78,150.0,5.0,6412.5,320.62,37848.58,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000939,2025-04-29,CUST0011,Bansal Brothers,Deoli,PRD0120,Battery Eveready AA,2pcs,22,PCS,42.2,62.0,0.0,1364.0,163.68,25896.37,Main Godown,Rakesh Singh,Sales
SAL000939,2025-04-29,CUST0011,Bansal Brothers,Deoli,PRD0081,Patanjali Ghee,1L,10,PCS,380.57,495.0,10.0,4455.0,222.75,25896.37,Tonk Branch,Rakesh Singh,Sales
SAL000939,2025-04-29,CUST0011,Bansal Brothers,Deoli,PRD0002,Tata Tea Gold,500g,69,PCS,193.75,260.0,2.0,17581.2,2109.74,25896.37,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000940,2025-04-04,CUST0011,Bansal Brothers,Deoli,PRD0017,Colgate Dental Cream,100g,2,PCS,38.64,58.0,0.0,116.0,20.88,8014.43,Main Godown,Arun Gupta,Sales
SAL000940,2025-04-04,CUST0011,Bansal Brothers,Deoli,PRD0077,Catch Black Pepper,50g,15,PCS,38.15,52.0,3.0,756.6,37.83,8014.43,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000940,2025-04-04,CUST0011,Bansal Brothers,Deoli,PRD0042,Colin Glass Cleaner,500ml,37,PCS,66.02,98.0,0.0,3626.0,435.12,8014.43,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000940,2025-04-04,CUST0011,Bansal Brothers,Deoli,PRD0106,Classmate Notebook,172pg,5,PCS,38.43,55.0,0.0,275.0,33.0,8014.43,Main Godown,Arun Gupta,Sales
SAL000940,2025-04-04,CUST0011,Bansal Brothers,Deoli,PRD0027,Dabur Amla Hair Oil,500ml,23,PCS,69.14,100.0,0.0,2300.0,414.0,8014.43,Main Godown,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0049,Exo Dishwash Bar,200g,9,PCS,15.09,22.0,0.0,198.0,23.76,26079.77,Tonk Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0071,Aashirvaad Atta,5kg,28,PCS,204.6,260.0,0.0,7280.0,364.0,26079.77,Tonk Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0032,Fair & Lovely Cream,100g,31,PCS,58.23,88.0,3.0,2646.16,476.31,26079.77,Tonk Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0102,Eno Fruit Salt,100g,11,PCS,61.7,78.0,0.0,858.0,42.9,26079.77,Main Godown,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0013,Pepsi,750ml,39,PCS,28.39,40.0,5.0,1482.0,177.84,26079.77,Tonk Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0074,Fortune Sunflower Oil,1L,29,PCS,125.9,170.0,3.0,4782.1,239.1,26079.77,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0003,Nescafe Classic,50g,21,PCS,195.33,280.0,0.0,5880.0,705.6,26079.77,Tonk Branch,Arun Gupta,Sales
SAL000942,2025-05-02,CUST0011,Bansal Brothers,Deoli,PRD0106,Classmate Notebook,172pg,15,PCS,38.64,55.0,0.0,825.0,99.0,26079.77,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000949,2025-07-30,CUST0011,Bansal Brothers,Deoli,PRD0111,Bisleri Water 1L,1L,29,PCS,12.06,20.0,0.0,580.0,104.4,1712.56,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000949,2025-07-30,CUST0011,Bansal Brothers,Deoli,PRD0050,Domex Toilet Cleaner,500ml,9,PCS,68.94,102.0,0.0,918.0,110.16,1712.56,Main Godown,Arun Gupta,Sales
SAL000950,2025-07-14,CUST0011,Bansal Brothers,Deoli,PRD0079,MDH Kitchen King,100g,32,PCS,58.0,80.0,0.0,2560.0,128.0,7768.84,Tonk Branch,Rakesh Singh,Sales
SAL000950,2025-07-14,CUST0011,Bansal Brothers,Deoli,PRD0092,Amul Mozzarella Cheese,200g,23,PCS,147.66,190.0,3.0,4238.9,211.94,7768.84,Tonk Branch,Rakesh Singh,Sales
SAL000950,2025-07-14,CUST0011,Bansal Brothers,Deoli,PRD0075,Tata Salt,1kg,25,PCS,18.16,24.0,0.0,600.0,30.0,7768.84,Tonk Branch,Rakesh Singh,Sales
SAL000954,2025-08-13,CUST0011,Bansal Brothers,Deoli,PRD0132,Lizol Disinfectant Spray,500ml,44,PCS,68.65,105.0,3.0,4481.4,537.77,9443.0,Main Godown,Rakesh Singh,Sales
SAL000954,2025-08-13,CUST0011,Bansal Brothers,Deoli,PRD0072,Fortune Chakki Atta,5kg,14,PCS,196.62,250.0,5.0,3325.0,166.25,9443.0,Main Godown,Rakesh Singh,Sales
SAL000954,2025-08-13,CUST0011,Bansal Brothers,Deoli,PRD0028,Vivel Soap,100g,8,PCS,20.04,30.0,0.0,240.0,43.2,9443.0,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000954,2025-08-13,CUST0011,Bansal Brothers,Deoli,PRD0012,Coca Cola,750ml,5,PCS,30.55,42.0,2.0,205.8,24.7,9443.0,Main Godown,Rakesh Singh,Sales
SAL000954,2025-08-13,CUST0011,Bansal Brothers,Deoli,PRD0061,Yippee Noodles,70g,22,PCS,12.08,17.0,0.0,374.0,44.88,9443.0,Main Godown,Rakesh Singh,Sales
SAL000956,2025-08-18,CUST0011,Bansal Brothers,Deoli,PRD0065,Bingo Mad Angles,90g,40,PCS,22.08,32.0,2.0,1254.4,150.53,11642.36,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000956,2025-08-18,CUST0011,Bansal Brothers,Deoli,PRD0015,Tropicana Orange Juice,1L,30,PCS,78.07,110.0,3.0,3201.0,384.12,11642.36,Main Godown,Arun Gupta,Sales
SAL000956,2025-08-18,CUST0011,Bansal Brothers,Deoli,PRD0099,Band-Aid Strips,10pcs,6,PCS,22.34,32.0,7.0,178.56,21.43,11642.36,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000956,2025-08-18,CUST0011,Bansal Brothers,Deoli,PRD0042,Colin Glass Cleaner,500ml,47,PCS,65.58,98.0,0.0,4606.0,552.72,11642.36,Main Godown,Arun Gupta,Sales
SAL000956,2025-08-18,CUST0011,Bansal Brothers,Deoli,PRD0043,Scotch Brite Scrub,1pc,33,PCS,22.43,35.0,0.0,1155.0,138.6,11642.36,Tonk Branch,Arun Gupta,Sales
SAL000968,2026-02-20,CUST0011,Bansal Brothers,Deoli,PRD0101,Vicks VapoRub,50ml,19,PCS,97.87,148.0,0.0,2812.0,337.44,3600.8,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000968,2026-02-20,CUST0011,Bansal Brothers,Deoli,PRD0055,Lays Classic Chips,26g,31,PCS,9.02,13.0,0.0,403.0,48.36,3600.8,Tonk Branch,Arun Gupta,Sales
SAL000975,2026-08-24,CUST0011,Bansal Brothers,Deoli,PRD0086,Amul Milk 1L Pouch,1L,33,PCS,55.82,68.0,10.0,2019.6,100.98,2965.73,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000975,2026-08-24,CUST0011,Bansal Brothers,Deoli,PRD0051,Parle-G Biscuit,800g,14,PCS,38.5,55.0,2.0,754.6,90.55,2965.73,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000984,2024-10-22,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0087,Amul Dahi,400g,12,PCS,38.55,50.0,0.0,600.0,30.0,22284.41,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000984,2024-10-22,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0082,Amul Butter,500g,66,PCS,214.38,270.0,0.0,17820.0,891.0,22284.41,Main Godown,Ramesh Kumar,Sales
SAL000984,2024-10-22,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0060,Maggi Noodles,70g,43,PCS,11.13,16.0,0.0,688.0,82.56,22284.41,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000984,2024-10-22,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0026,Parachute Coconut Oil,500ml,18,PCS,75.63,110.0,7.0,1841.4,331.45,22284.41,Main Godown,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0074,Fortune Sunflower Oil,1L,22,PCS,127.24,170.0,0.0,3740.0,187.0,19883.15,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0044,Vim Dishwash Liquid,500ml,52,PCS,86.43,128.0,0.0,6656.0,798.72,19883.15,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0098,Burnol Cream,20g,43,PCS,35.2,52.0,0.0,2236.0,268.32,19883.15,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0003,Nescafe Classic,50g,2,PCS,198.0,280.0,0.0,560.0,67.2,19883.15,Main Godown,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0010,Limca Lemon,750ml,27,PCS,28.23,40.0,0.0,1080.0,129.6,19883.15,Tonk Branch,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0092,Amul Mozzarella Cheese,200g,1,PCS,147.77,190.0,2.0,186.2,9.31,19883.15,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL000990,2024-10-03,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0091,Nestle Milkmaid,400g,32,PCS,89.01,118.0,0.0,3776.0,188.8,19883.15,Main Godown,Ramesh Kumar,Sales
SAL001011,2025-02-13,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0125,Dhara Mustard Oil,1L,48,PCS,105.24,145.0,3.0,6751.2,337.56,23389.45,Tonk Branch,Tushar Patel,Sales
SAL001011,2025-02-13,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0072,Fortune Chakki Atta,5kg,37,PCS,198.41,250.0,0.0,9250.0,462.5,23389.45,Tonk Branch,Tushar Patel,Sales
SAL001011,2025-02-13,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0078,Everest Garam Masala,100g,1,PCS,55.8,75.0,0.0,75.0,3.75,23389.45,Sawai Madhopur Branch,Tushar Patel,Sales
SAL001011,2025-02-13,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0101,Vicks VapoRub,50ml,39,PCS,97.08,148.0,0.0,5772.0,692.64,23389.45,Main Godown,Tushar Patel,Sales
SAL001011,2025-02-13,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0063,Monaco Biscuit,250g,1,PCS,28.09,40.0,0.0,40.0,4.8,23389.45,Main Godown,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0074,Fortune Sunflower Oil,1L,12,PCS,126.05,170.0,5.0,1938.0,96.9,11098.16,Sawai Madhopur Branch,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0127,Jim Jam Biscuit,150g,4,PCS,22.3,32.0,10.0,115.2,13.82,11098.16,Tonk Branch,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0126,Sunfeast Bounce,82g,25,PCS,28.12,40.0,0.0,1000.0,120.0,11098.16,Tonk Branch,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0104,Pudin Hara,20ml,6,PCS,28.28,40.0,10.0,216.0,10.8,11098.16,Main Godown,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0054,Marie Gold Biscuit,250g,43,PCS,24.36,34.0,0.0,1462.0,175.44,11098.16,Tonk Branch,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0014,Real Fruit Juice,1L,23,PCS,67.07,95.0,0.0,2185.0,262.2,11098.16,Tonk Branch,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0122,Parle Groundnut Oil,1L,20,PCS,110.05,150.0,0.0,3000.0,150.0,11098.16,Main Godown,Tushar Patel,Sales
SAL001013,2025-02-01,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0132,Lizol Disinfectant Spray,500ml,3,PCS,68.12,105.0,0.0,315.0,37.8,11098.16,Tonk Branch,Tushar Patel,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0049,Exo Dishwash Bar,200g,14,PCS,15.04,22.0,0.0,308.0,36.96,4610.96,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0035,Pears Soap,75g,18,PCS,38.59,58.0,2.0,1023.12,184.16,4610.96,Tonk Branch,Ramesh Kumar,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0021,Lifebuoy Soap,100g,2,PCS,18.0,28.0,0.0,56.0,10.08,4610.96,Tonk Branch,Ramesh Kumar,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0129,Nutrichoice Biscuit,100g,36,PCS,35.42,52.0,0.0,1872.0,224.64,4610.96,Tonk Branch,Ramesh Kumar,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0068,Perk Chocolate,36g,14,PCS,18.02,25.0,0.0,350.0,42.0,4610.96,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL001026,2025-06-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0084,Knorr Soup,44g,10,PCS,34.62,48.0,0.0,480.0,24.0,4610.96,Main Godown,Ramesh Kumar,Sales
SAL001042,2025-08-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0131,Harpic Bathroom Cleaner,500ml,46,PCS,79.19,120.0,0.0,5520.0,993.6,10988.0,Main Godown,Ramesh Kumar,Sales
SAL001042,2025-08-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0076,Captain Cook Salt,1kg,40,PCS,16.3,22.0,0.0,880.0,44.0,10988.0,Main Godown,Ramesh Kumar,Sales
SAL001042,2025-08-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0001,Brooke Bond Red Label Tea,250g,18,PCS,95.66,130.0,0.0,2340.0,280.8,10988.0,Tonk Branch,Ramesh Kumar,Sales
SAL001042,2025-08-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0057,Uncle Chips,60g,25,PCS,15.05,22.0,0.0,550.0,66.0,10988.0,Main Godown,Ramesh Kumar,Sales
SAL001042,2025-08-18,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0003,Nescafe Classic,50g,1,PCS,198.33,280.0,0.0,280.0,33.6,10988.0,Main Godown,Ramesh Kumar,Sales
SAL001044,2025-09-25,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0128,Hide & Seek Biscuit,120g,7,PCS,32.19,45.0,0.0,315.0,37.8,2088.8,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL001044,2025-09-25,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0066,Hippo Rings,40g,31,PCS,10.02,14.0,0.0,434.0,52.08,2088.8,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL001044,2025-09-25,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0052,Britannia Good Day,200g,2,PCS,27.16,38.0,0.0,76.0,9.12,2088.8,Sawai Madhopur Branch,Ramesh Kumar,Sales
SAL001044,2025-09-25,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0063,Monaco Biscuit,250g,26,PCS,28.55,40.0,0.0,1040.0,124.8,2088.8,Tonk Branch,Ramesh Kumar,Sales
SAL001047,2025-10-17,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0069,Dairy Milk Chocolate,40g,69,PCS,35.35,50.0,5.0,3277.5,393.3,6670.36,Sawai Madhopur Branch,Tushar Patel,Sales
SAL001047,2025-10-17,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0018,Pepsodent Toothpaste,200g,31,PCS,55.12,82.0,0.0,2542.0,457.56,6670.36,Main Godown,Tushar Patel,Sales
SAL001049,2025-10-11,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0073,Saffola Gold Oil,1L,11,PCS,145.2,195.0,0.0,2145.0,107.25,22637.99,Tonk Branch,Ramesh Kumar,Sales
SAL001049,2025-10-11,CUST0012,Rajput Supermart,Sawai Madhopur,PRD0038,Rin Detergent,500g,20,PCS,38.19,58.0,0.0,1160.0,139.2,22637.99,Tonk Branch,Ramesh Kumar,Sales
