po_number,date,supplier_name,product_name,size_variant,quantity,landing_cost,invoice_value
PO06156,2023-06-08,Britannia Jaipur Hub,Britannia Cheese Spread,180g,10,157.84,1578.4
PO06157,2023-06-08,Local Supplier,Harpic Toilet Cleaner,500ml,16,82.32,1317.12
PO06158,2023-06-08,Local Supplier,Lizol Floor Cleaner,2L,22,22.93,504.46
PO06159,2023-06-13,Local Supplier,Tissue Box,200 sheets,72,232.31,16726.32
PO06160,2023-06-13,Local Supplier,Dettol Handwash,200ml,63,130.2,8202.6
PO06161,2023-06-13,Local Supplier,Candle Pack,12 pcs,86,170.53,14665.58
PO06162,2023-06-13,Local Supplier,Tata Salt,1kg,79,298.57,23587.03
PO06163,2023-06-13,Local Supplier,A4 Paper Ream,500 sheets,83,77.57,6438.31
PO06164,2023-06-13,Local Supplier,All Out Liquid Refill,135ml,44,146.38,6440.72
PO06165,2023-06-13,Local Supplier,Pepsodent Toothpaste,300g,24,157.47,3779.28
PO06166,2023-06-13,Britannia Jaipur Hub,Good Day Cookies,75g,75,109.34,8200.5
PO06167,2023-06-13,ITC Regional Depot,Annapurna Atta,5kg,21,143.87,3021.27
PO06168,2023-06-13,Local Supplier,Everest Sabji Masala,100g,79,255.27,20166.33
PO06169,2023-06-13,Local Supplier,Good Knight Mosquito Coil,10 pcs,69,176.13,12152.97
PO06170,2023-06-13,Local Supplier,Veet Hair Removal Cream,25g,31,101.65,3151.15
PO06171,2023-06-13,Local Supplier,Patanjali Kesh Kanti,200ml,23,206.05,4739.15
PO06172,2023-06-13,Britannia Jaipur Hub,Britannia Biscuits,100g,69,35.01,2415.69
PO06173,2023-06-13,Local Supplier,VIP Socks,2 pairs,90,141.53,12737.7
PO06174,2023-06-13,Local Supplier,Parachute Coconut Oil,200ml,14,292.53,4095.42
PO06175,2023-06-13,ITC Regional Depot,Fevicol Glue,50ml,29,20.4,591.6
PO06176,2023-06-13,Amul Cooperative Jaipur,Amul Ghee,500ml,81,441.27,35742.87
PO06177,2023-06-13,Local Supplier,Head & Shoulders Shampoo,360ml,12,199.23,2390.76
PO06178,2023-06-13,Dabur Tonk Depot,Rooh Afza,300ml,54,282.47,15253.38
PO06179,2023-06-13,Parle Agencies Jaipur,Parle-G Biscuits,100g,94,19.05,1790.7
PO06180,2023-06-13,Local Supplier,Paperboat Drinks,250ml,56,222.31,12449.36
PO06181,2023-06-13,Local Supplier,Marico Hair Oil,300ml,39,283.41,11052.99
PO06182,2023-06-13,Dabur Tonk Depot,Real Fruit Juice,1L,12,68.52,822.24
PO06183,2023-06-13,Amul Cooperative Jaipur,Amul Cheese Slices,400g,29,136.26,3951.54
PO06184,2023-06-13,ITC Regional Depot,Fevicol Glue,100ml,73,97.2,7095.6
PO06185,2023-06-13,Local Supplier,Philips LED Bulb 12W,1 pc,18,204.56,3682.08
PO06186,2023-06-13,Local Supplier,Lizol Floor Cleaner,2L,68,22.42,1524.56
PO06187,2023-06-13,Local Supplier,MDH Garam Masala,50g,39,239.54,9342.06
PO06188,2023-06-13,Local Supplier,Natraj Pencil Box,10 pcs,82,116.16,9525.12
PO06189,2023-06-13,Local Supplier,Surf Excel Detergent,1kg,43,65.59,2820.37
PO06190,2023-06-13,Local Supplier,Anchor Switchboard,4 switch,96,318.56,30581.76
PO06191,2023-06-15,ITC Regional Depot,Fevicol Glue,500ml,90,21.53,1937.7
PO06192,2023-06-15,Local Supplier,Surf Excel Detergent,2kg,22,133.12,2928.64
PO06193,2023-06-15,Local Supplier,Anchor Switchboard,6 switch,79,306.52,24215.08
PO06194,2023-06-15,Local Supplier,Pepsodent Toothpaste,70g,76,135.54,10301.04
PO06195,2023-06-15,Local Supplier,Tissue Box,200 sheets,45,226.05,10172.25
PO06196,2023-06-15,Local Supplier,Pepsodent Toothpaste,150g,32,149.53,4784.96
PO06197,2023-06-15,Local Supplier,Fair & Lovely Cream,25g,24,76.43,1834.32
PO06198,2023-06-15,Local Supplier,Paperboat Drinks,200ml,83,268.4,22277.2
PO06199,2023-06-15,Britannia Jaipur Hub,Hide & Seek,75g,40,51.66,2066.4
PO06200,2023-06-15,Local Supplier,Syska LED Strip,5m,13,241.82,3143.66
PO06201,2023-06-15,Local Supplier,Horlicks,200g,96,132.99,12767.04
PO06202,2023-06-15,Nestle C&F Jaipur,Nescafe Classic Coffee,50g,87,317.6,27631.2
PO06203,2023-06-15,Nestle C&F Jaipur,Nestle Milkmaid,400g,84,517.64,43481.76
PO06204,2023-06-15,Local Supplier,Fair & Lovely Cream,100g,80,121.82,9745.6
PO06205,2023-06-15,Local Supplier,All Out Liquid Refill,45ml,61,82.71,5045.31
PO06206,2023-06-15,Local Supplier,Rupa Underwear,L,62,166.35,10313.7
PO06207,2023-06-15,Local Supplier,Yakult Probiotic,5 bottles,25,150.23,3755.75
PO06208,2023-06-20,Local Supplier,Scotch Brite Scrub,3 pc,69,79.14,5460.66
PO06209,2023-06-20,Local Supplier,Philips LED Bulb 12W,4 pcs,16,339.86,5437.76
PO06210,2023-06-20,Local Supplier,Vim Dish Wash,1L,12,110.96,1331.52
PO06211,2023-06-20,ITC Regional Depot,Sunfeast Dark Fantasy,150g,30,128.4,3852.0
PO06212,2023-06-20,Local Supplier,Pantene Shampoo,370ml,70,267.91,18753.7
PO06213,2023-06-20,Local Supplier,Patanjali Kesh Kanti,450ml,80,306.69,24535.2
PO06214,2023-06-20,Nestle C&F Jaipur,Nestle Milkmaid,400g,65,542.06,35233.9
PO06215,2023-06-20,Local Supplier,Colin Glass Cleaner,500ml,55,251.49,13831.95
PO06216,2023-06-20,Local Supplier,Lux Soap,75g,70,126.72,8870.4
PO06217,2023-06-20,Local Supplier,Classmate Notebook,100 pages,87,43.84,3814.08
PO06218,2023-06-20,Local Supplier,Candle Pack,12 pcs,52,167.47,8708.44
PO06219,2023-06-20,Britannia Jaipur Hub,Britannia Cheese Spread,180g,82,162.51,13325.82
PO06220,2023-06-20,Dabur Tonk Depot,Real Fruit Juice,1L,43,67.53,2903.79
PO06221,2023-06-20,Local Supplier,Dettol Handwash,500ml,39,153.98,6005.22
PO06222,2023-06-20,Local Supplier,Everest Sabji Masala,50g,50,226.3,11315.0
PO06223,2023-06-20,Local Supplier,Tata Tea Premium,1kg,59,117.93,6957.87
PO06224,2023-06-20,Local Supplier,All Out Liquid Refill,45ml,96,84.43,8105.28
PO06225,2023-06-20,Local Supplier,Colgate Toothpaste,200g,94,115.05,10814.7
PO06226,2023-06-22,ITC Regional Depot,Fevicol Glue,500ml,93,21.83,2030.19
PO06227,2023-06-22,Local Supplier,All Out Liquid Refill,45ml,93,82.83,7703.19
PO06228,2023-06-22,Local Supplier,Good Knight Mosquito Coil,20 pcs,72,90.12,6488.64
PO06229,2023-06-22,Local Supplier,Harpic Toilet Cleaner,500ml,85,80.28,6823.8
PO06230,2023-06-22,ITC Regional Depot,Sunfeast Dark Fantasy,75g,13,102.21,1328.73
PO06231,2023-06-22,Local Supplier,Harpic Toilet Cleaner,1L,34,151.51,5151.34
PO06232,2023-06-22,Local Supplier,VIP Socks,2 pairs,98,137.06,13431.88
PO06233,2023-06-22,Local Supplier,Wheel Detergent Powder,1kg,30,77.05,2311.5
PO06234,2023-06-22,Local Supplier,Pantene Shampoo,370ml,99,279.66,27686.34
PO06235,2023-06-22,Local Supplier,Red Label Tea,1kg,94,253.87,23863.78
PO06236,2023-06-22,Britannia Jaipur Hub,Bourbon Biscuits,80g,13,22.55,293.15
PO06237,2023-06-22,Local Supplier,Godrej Hit Cockroach Spray,400ml,87,185.82,16166.34
PO06238,2023-06-22,Local Supplier,Rupa Underwear,L,89,161.19,14345.91
PO06239,2023-06-22,Local Supplier,Scotch Brite Scrub,2 pc,77,172.11,13252.47
PO06240,2023-06-22,Local Supplier,Tang Powder,500g,44,101.72,4475.68
PO06241,2023-06-22,Local Supplier,Pepsodent Toothpaste,150g,65,147.29,9573.85
PO06242,2023-06-22,Local Supplier,Lux Soap,75g,97,122.4,11872.8
PO06243,2023-06-22,Local Supplier,Bournvita,200g,10,87.46,874.6
PO06244,2023-06-22,Local Supplier,Reynolds Pen,10 pcs,51,39.07,1992.57
PO06245,2023-06-22,Local Supplier,Good Knight Mosquito Coil,10 pcs,13,177.31,2305.03
PO06246,2023-06-22,Local Supplier,Reynolds Pen,20 pcs,98,39.76,3896.48
PO06247,2023-06-22,Local Supplier,Bajaj LED Bulb 9W,1 pc,85,240.64,20454.4
PO06248,2023-06-22,Local Supplier,Anchor Switchboard,4 switch,17,303.88,5165.96
PO06249,2023-06-22,Local Supplier,Colgate Toothpaste,300g,42,169.1,7102.2
PO06250,2023-06-22,Local Supplier,Tang Powder,50g,96,225.84,21680.64
PO06251,2023-06-22,Local Supplier,Anchor Switchboard,6 switch,75,301.9,22642.5
PO06252,2023-06-22,Britannia Jaipur Hub,Hide & Seek,100g,56,24.28,1359.68
PO06253,2023-06-22,Local Supplier,Candle Pack,24 pcs,58,124.33,7211.14
PO06254,2023-06-22,Britannia Jaipur Hub,Britannia Cheese Spread,180g,94,160.0,15040.0
PO06255,2023-06-22,Local Supplier,Horlicks,1kg,41,213.78,8764.98
PO06256,2023-06-22,Local Supplier,Fortune Sunflower Oil,5L,45,143.1,6439.5
PO06257,2023-06-22,ITC Regional Depot,Fevicol Glue,50ml,79,20.9,1651.1
PO06258,2023-06-22,Local Supplier,Godrej Hit Cockroach Spray,200ml,89,89.12,7931.68
PO06259,2023-06-22,ITC Regional Depot,Lays Chips,73g,32,82.77,2648.64
PO06260,2023-06-22,ITC Regional Depot,Kurkure,73g,96,108.19,10386.24
PO06261,2023-06-27,Britannia Jaipur Hub,Britannia Biscuits,200g,66,51.72,3413.52
PO06262,2023-06-27,Local Supplier,Vim Dish Wash,1L,35,111.92,3917.2
PO06263,2023-06-27,Local Supplier,Handkerchief Pack,12 pcs,97,250.62,24310.14
PO06264,2023-06-27,Nestle C&F Jaipur,Nescafe Classic Coffee,50g,54,318.13,17179.02
PO06265,2023-06-27,Local Supplier,A4 Paper Ream,500 sheets,14,78.9,1104.6
PO06266,2023-06-27,Local Supplier,Dettol Handwash,500ml,52,158.24,8228.48
PO06267,2023-06-27,ITC Regional Depot,Stapler Machine,Standard,78,48.25,3763.5
PO06268,2023-06-27,Local Supplier,Tata Tea Premium,250g,100,306.92,30692.0
PO06269,2023-06-27,Local Supplier,Bajaj LED Bulb 9W,4 pcs,68,196.2,13341.6
PO06270,2023-06-27,Local Supplier,Yakult Probiotic,5 bottles,79,147.34,11639.86
PO06271,2023-06-27,Amul Cooperative Jaipur,Amul Cheese Slices,200g,64,583.1,37318.4
PO06272,2023-06-27,Britannia Jaipur Hub,Monaco Crackers,160g,62,20.01,1240.62
PO06273,2023-06-27,Britannia Jaipur Hub,Monaco Crackers,80g,98,94.43,9254.14
PO06274,2023-06-27,Local Supplier,Garbage Bags,30 pcs,48,42.72,2050.56
PO06275,2023-06-27,Parle Agencies Jaipur,Parle-G Biscuits,200g,55,176.35,9699.25
PO06276,2023-06-27,Local Supplier,Surf Excel Detergent,500g,67,129.54,8679.18
PO06277,2023-06-29,Local Supplier,Fair & Lovely Cream,25g,18,77.53,1395.54
PO06278,2023-06-29,Local Supplier,Tata Salt,1kg,15,286.49,4297.35
PO06279,2023-06-29,Britannia Jaipur Hub,Monaco Crackers,160g,62,20.5,1271.0
PO06280,2023-06-29,Dabur Tonk Depot,Real Fruit Juice,2L,81,204.57,16570.17
PO06281,2023-06-29,ITC Regional Depot,Fevicol Glue,100ml,66,98.22,6482.52
PO06282,2023-06-29,Local Supplier,Philips LED Bulb 12W,1 pc,33,207.42,6844.86
PO06283,2023-06-29,Local Supplier,Rin Bar,400g,66,152.0,10032.0
PO06284,2023-06-29,Local Supplier,Odonil Air Freshener,75g,44,142.09,6251.96
PO06285,2023-06-29,Local Supplier,Everest Sabji Masala,50g,18,225.99,4067.82
PO06286,2023-06-29,Local Supplier,Marico Hair Oil,100ml,57,249.85,14241.45
PO06287,2023-06-29,Local Supplier,Godrej Hit Cockroach Spray,200ml,89,86.1,7662.9
PO06288,2023-06-29,Local Supplier,Natraj Pencil Box,10 pcs,61,112.18,6842.98
PO06289,2023-06-29,Local Supplier,Bournvita,1kg,87,161.92,14087.04
PO06290,2023-06-29,Local Supplier,Bajaj LED Bulb 9W,1 pc,82,251.51,20623.82
PO06291,2023-06-29,Local Supplier,Red Label Tea,500g,67,266.75,17872.25
PO06292,2023-06-29,Local Supplier,Tang Powder,50g,18,219.6,3952.8
PO06293,2023-06-29,Local Supplier,Rin Bar,200g,52,69.88,3633.76
PO06294,2023-06-29,Local Supplier,Mother Dairy Paneer,200g,62,226.05,14015.1
PO06295,2023-06-29,Local Supplier,Lizol Floor Cleaner,1L,63,129.54,8161.02
PO06296,2023-06-29,Local Supplier,Marico Hair Oil,300ml,46,277.46,12763.16
PO06297,2023-06-29,Local Supplier,Handkerchief Pack,12 pcs,31,257.55,7984.05
PO06298,2023-06-29,Local Supplier,Bournvita,200g,30,89.41,2682.3
PO06299,2023-06-29,Local Supplier,Horlicks,1kg,52,214.53,11155.56
PO06300,2023-06-29,Dabur Tonk Depot,Rooh Afza,300ml,31,289.56,8976.36
PO06301,2023-06-29,Local Supplier,Scotch Brite Scrub,2 pc,34,172.22,5855.48
PO06302,2023-06-29,Local Supplier,MDH Garam Masala,100g,29,134.69,3906.01
PO06303,2023-07-04,Local Supplier,Fair & Lovely Cream,25g,27,73.83,1993.41
PO06304,2023-07-04,Britannia Jaipur Hub,Monaco Crackers,80g,76,95.45,7254.2
PO06305,2023-07-04,Local Supplier,Rin Bar,400g,19,154.86,2942.34
PO06306,2023-07-04,Local Supplier,Paperboat Drinks,250ml,84,220.33,18507.72
PO06307,2023-07-04,ITC Regional Depot,Sunfeast Dark Fantasy,75g,88,99.41,8748.08
PO06308,2023-07-04,Local Supplier,Mother Dairy Paneer,200g,50,225.25,11262.5
PO06309,2023-07-04,Local Supplier,Bournvita,500g,23,229.0,5267.0
PO06310,2023-07-04,Local Supplier,Veet Hair Removal Cream,50g,95,205.37,19510.15
PO06311,2023-07-04,Local Supplier,Head & Shoulders Shampoo,180ml,48,312.69,15009.12
PO06312,2023-07-04,Local Supplier,A4 Paper Ream,500 sheets,94,77.42,7277.48
PO06313,2023-07-04,Local Supplier,Jockey Vest,M,98,239.62,23482.76
PO06314,2023-07-04,Local Supplier,Classmate Notebook,100 pages,17,43.2,734.4
PO06315,2023-07-04,Local Supplier,Lux Soap,150g,48,83.42,4004.16
PO06316,2023-07-04,Local Supplier,Colgate Toothpaste,100g,66,43.94,2900.04
PO06317,2023-07-04,Local Supplier,Patanjali Kesh Kanti,450ml,43,318.83,13709.69
PO06318,2023-07-04,ITC Regional Depot,Fevicol Glue,100ml,22,98.61,2169.42
PO06319,2023-07-04,ITC Regional Depot,Lays Chips,26g,75,171.34,12850.5
PO06320,2023-07-04,Local Supplier,Philips LED Bulb 12W,1 pc,47,206.71,9715.37
PO06321,2023-07-04,Dabur Tonk Depot,Rooh Afza,300ml,22,285.66,6284.52
PO06322,2023-07-04,ITC Regional Depot,Fevicol Glue,50ml,85,20.04,1703.4
PO06323,2023-07-04,Local Supplier,Rin Bar,200g,99,70.3,6959.7
PO06324,2023-07-04,Local Supplier,Tang Powder,100g,67,152.54,10220.18
PO06325,2023-07-04,Local Supplier,Tata Salt,1kg,32,286.83,9178.56
PO06326,2023-07-06,Amul Cooperative Jaipur,Amul Cheese Slices,400g,19,141.51,2688.69
PO06327,2023-07-06,Local Supplier,Clinic Plus Shampoo,175ml,83,228.78,18988.74
PO06328,2023-07-06,Nestle C&F Jaipur,Nescafe Classic Coffee,200g,38,311.63,11841.94
PO06329,2023-07-06,Local Supplier,Lizol Floor Cleaner,2L,68,22.95,1560.6
PO06330,2023-07-06,Local Supplier,Rupa Underwear,S,67,181.23,12142.41
PO06331,2023-07-06,Haldiram Distributors,Haldiram Namkeen,400g,28,159.58,4468.24
PO06332,2023-07-06,Amul Cooperative Jaipur,Amul Cheese Slices,200g,70,598.53,41897.1
PO06333,2023-07-06,ITC Regional Depot,Kurkure,100g,59,42.49,2506.91
PO06334,2023-07-06,Local Supplier,Vim Dish Wash,250ml,36,118.29,4258.44
PO06335,2023-07-06,ITC Regional Depot,Stapler Machine,Standard,98,50.94,4992.12
PO06336,2023-07-06,Local Supplier,Reynolds Pen,10 pcs,28,40.87,1144.36
PO06337,2023-07-06,Local Supplier,Surf Excel Detergent,500g,72,123.54,8894.88
PO06338,2023-07-06,Local Supplier,Pantene Shampoo,185ml,32,189.48,6063.36
PO06339,2023-07-06,Local Supplier,Syska LED Strip,5m,84,242.89,20402.76
PO06340,2023-07-06,Local Supplier,Good Knight Mosquito Coil,10 pcs,27,175.7,4743.9
PO06341,2023-07-06,Amul Cooperative Jaipur,Amul Butter,100g,13,362.09,4707.17
PO06342,2023-07-06,Nestle C&F Jaipur,Nestle Milkmaid,1kg,17,122.35,2079.95
PO06343,2023-07-06,ITC Regional Depot,Annapurna Atta,10kg,75,74.01,5550.75
PO06344,2023-07-06,Local Supplier,All Out Liquid Refill,135ml,60,151.35,9081.0
PO06345,2023-07-06,Local Supplier,Bajaj LED Bulb 9W,4 pcs,78,200.19,15614.82
PO06346,2023-07-06,Local Supplier,MDH Haldi Powder,500g,41,190.17,7796.97
PO06347,2023-07-06,Local Supplier,Red Label Tea,1kg,94,253.75,23852.5
PO06348,2023-07-06,Local Supplier,Parachute Coconut Oil,200ml,59,289.88,17102.92
PO06349,2023-07-06,Local Supplier,Lifebuoy Soap,250g,56,50.32,2817.92
PO06350,2023-07-11,Local Supplier,Bajaj LED Bulb 9W,1 pc,68,252.77,17188.36
PO06351,2023-07-11,Local Supplier,VIP Socks,2 pairs,21,136.23,2860.83
PO06352,2023-07-11,Haldiram Distributors,Haldiram Namkeen,200g,37,38.02,1406.74
PO06353,2023-07-11,Local Supplier,Mother Dairy Paneer,200g,88,224.24,19733.12
PO06354,2023-07-11,ITC Regional Depot,Kurkure,100g,81,42.25,3422.25
PO06355,2023-07-11,Local Supplier,Tang Powder,100g,45,148.46,6680.7
PO06356,2023-07-11,Local Supplier,Candle Pack,12 pcs,47,167.83,7888.01
PO06357,2023-07-11,Nestle C&F Jaipur,Nescafe Classic Coffee,50g,38,306.8,11658.4
PO06358,2023-07-11,Dabur Tonk Depot,Real Fruit Juice,2L,30,196.21,5886.3
PO06359,2023-07-11,Britannia Jaipur Hub,Monaco Crackers,80g,24,99.66,2391.84
PO06360,2023-07-11,Local Supplier,Rin Bar,100g,57,114.02,6499.14
PO06361,2023-07-11,Britannia Jaipur Hub,Britannia Biscuits,100g,19,35.36,671.84
PO06362,2023-07-11,Local Supplier,Tang Powder,500g,74,102.17,7560.58
PO06363,2023-07-11,Amul Cooperative Jaipur,Amul Lassi,200ml,40,78.2,3128.0
PO06364,2023-07-11,Local Supplier,Fortune Sunflower Oil,1L,28,300.73,8420.44
PO06365,2023-07-11,Local Supplier,Bournvita,1kg,14,165.15,2312.1
PO06366,2023-07-11,Local Supplier,Vim Dish Wash,500ml,65,60.74,3948.1
PO06367,2023-07-11,ITC Regional Depot,Kurkure,73g,76,103.27,7848.52
PO06368,2023-07-11,Local Supplier,Colgate Toothpaste,200g,59,115.83,6833.97
PO06369,2023-07-11,Local Supplier,Patanjali Kesh Kanti,450ml,95,316.12,30031.4
PO06370,2023-07-11,Britannia Jaipur Hub,Hide & Seek,75g,48,52.65,2527.2
PO06371,2023-07-11,Nestle C&F Jaipur,Nestle Milkmaid,400g,27,515.7,13923.9
PO06372,2023-07-11,Local Supplier,Lifebuoy Soap,75g,77,171.16,13179.32
PO06373,2023-07-11,ITC Regional Depot,Fevicol Glue,50ml,15,21.05,315.75
PO06374,2023-07-11,Dabur Tonk Depot,Real Fruit Juice,1L,23,70.73,1626.79
PO06375,2023-07-11,Local Supplier,Dove Shampoo,400ml,89,125.41,11161.49
PO06376,2023-07-11,Local Supplier,Pantene Shampoo,185ml,71,187.01,13277.71
PO06377,2023-07-11,Local Supplier,MDH Haldi Powder,250g,72,356.44,25663.68
PO06378,2023-07-11,Local Supplier,Scotch Brite Scrub,2 pc,12,173.32,2079.84
PO06379,2023-07-11,Amul Cooperative Jaipur,Amul Cheese Slices,200g,42,596.12,25037.04
PO06380,2023-07-11,ITC Regional Depot,Sunfeast Dark Fantasy,75g,50,101.07,5053.5
PO06381,2023-07-13,ITC Regional Depot,Lays Chips,26g,99,170.55,16884.45
PO06382,2023-07-13,Local Supplier,Head & Shoulders Shampoo,360ml,55,193.72,10654.6
PO06383,2023-07-13,Local Supplier,Fair & Lovely Cream,100g,30,125.68,3770.4
PO06384,2023-07-13,Local Supplier,Classmate Notebook,100 pages,99,42.95,4252.05
PO06385,2023-07-13,Amul Cooperative Jaipur,Amul Ghee,1L,91,479.0,43589.0
PO06386,2023-07-13,Local Supplier,Candle Pack,24 pcs,36,125.63,4522.68
PO06387,2023-07-13,ITC Regional Depot,Sunfeast Dark Fantasy,75g,64,103.56,6627.84
PO06388,2023-07-13,Parle Agencies Jaipur,Parle-G Biscuits,200g,40,173.55,6942.0
PO06389,2023-07-13,Local Supplier,Good Knight Mosquito Coil,10 pcs,48,170.35,8176.8
PO06390,2023-07-13,ITC Regional Depot,Kurkure,73g,60,103.61,6216.6
PO06391,2023-07-13,Britannia Jaipur Hub,Bourbon Biscuits,80g,30,22.51,675.3
PO06392,2023-07-13,Local Supplier,Reynolds Pen,10 pcs,34,40.75,1385.5
PO06393,2023-07-13,ITC Regional Depot,Fevicol Glue,50ml,92,20.38,1874.96
PO06394,2023-07-13,Local Supplier,MDH Red Chilli Powder,500g,22,261.2,5746.4
PO06395,2023-07-13,Local Supplier,Bajaj LED Bulb 9W,4 pcs,84,204.47,17175.48
PO06396,2023-07-13,Local Supplier,Patanjali Kesh Kanti,200ml,68,205.37,13965.16
PO06397,2023-07-13,Local Supplier,Fair & Lovely Cream,50g,20,41.94,838.8
PO06398,2023-07-13,Amul Cooperative Jaipur,Amul Butter,100g,20,368.96,7379.2
PO06399,2023-07-13,Local Supplier,Bournvita,500g,70,218.71,15309.7
PO06400,2023-07-13,Local Supplier,Harpic Toilet Cleaner,500ml,63,80.82,5091.66
PO06401,2023-07-18,Britannia Jaipur Hub,Good Day Cookies,150g,86,62.91,5410.26
PO06402,2023-07-18,Local Supplier,Philips LED Bulb 12W,4 pcs,68,354.97,24137.96
PO06403,2023-07-18,Local Supplier,Paperboat Drinks,200ml,84,275.55,23146.2
PO06404,2023-07-18,Britannia Jaipur Hub,Hide & Seek,100g,65,24.3,1579.5
PO06405,2023-07-18,Local Supplier,Saffola Gold Oil,5L,86,248.57,21377.02
PO06406,2023-07-18,Local Supplier,Lifebuoy Soap,150g,18,125.27,2254.86
PO06407,2023-07-18,Local Supplier,Nivea Body Lotion,200ml,61,199.64,12178.04
PO06408,2023-07-18,ITC Regional Depot,Fevicol Glue,500ml,22,21.19,466.18
PO06409,2023-07-18,Local Supplier,Head & Shoulders Shampoo,180ml,18,322.42,5803.56
PO06410,2023-07-18,Local Supplier,Dove Shampoo,200ml,79,299.09,23628.11
PO06411,2023-07-18,Local Supplier,Tata Tea Premium,500g,94,35.61,3347.34
PO06412,2023-07-18,Local Supplier,MDH Garam Masala,50g,84,243.82,20480.88
PO06413,2023-07-18,ITC Regional Depot,Annapurna Atta,10kg,16,74.41,1190.56
PO06414,2023-07-18,Britannia Jaipur Hub,Monaco Crackers,160g,30,19.97,599.1
PO06415,2023-07-18,Local Supplier,Surf Excel Detergent,500g,24,130.15,3123.6
PO06416,2023-07-18,Local Supplier,Fair & Lovely Cream,50g,27,43.03,1161.81
PO06417,2023-07-18,Local Supplier,Lux Soap,75g,95,125.48,11920.6
PO06418,2023-07-18,Local Supplier,Anchor Switchboard,4 switch,27,316.72,8551.44
PO06419,2023-07-18,Nestle C&F Jaipur,Nestle Milkmaid,1kg,55,117.8,6479.0
PO06420,2023-07-18,Local Supplier,Marico Hair Oil,100ml,89,249.82,22233.98
PO06421,2023-07-18,Britannia Jaipur Hub,Britannia Biscuits,400g,93,152.83,14213.19
PO06422,2023-07-18,Local Supplier,MDH Haldi Powder,500g,87,195.4,16999.8
PO06423,2023-07-18,Local Supplier,Rupa Underwear,XL,29,122.95,3565.55
PO06424,2023-07-18,Local Supplier,Colgate Toothpaste,100g,23,45.07,1036.61
PO06425,2023-07-18,Local Supplier,Rupa Underwear,S,70,182.87,12800.9
PO06426,2023-07-18,Local Supplier,Pepsodent Toothpaste,300g,42,159.4,6694.8
PO06427,2023-07-18,Local Supplier,Tang Powder,50g,89,229.84,20455.76
PO06428,2023-07-20,Local Supplier,Wheel Detergent Powder,1kg,43,78.87,3391.41
PO06429,2023-07-20,Local Supplier,Pepsodent Toothpaste,70g,72,133.81,9634.32
PO06430,2023-07-20,Local Supplier,Clinic Plus Shampoo,175ml,21,225.63,4738.23
PO06431,2023-07-20,Local Supplier,Saffola Gold Oil,5L,74,249.13,18435.62
PO06432,2023-07-20,Local Supplier,Parachute Coconut Oil,500ml,11,165.62,1821.82
PO06433,2023-07-20,Dabur Tonk Depot,Rooh Afza,300ml,79,281.52,22240.08
PO06434,2023-07-20,Local Supplier,Horlicks,1kg,93,215.04,19998.72
PO06435,2023-07-20,Local Supplier,Head & Shoulders Shampoo,180ml,12,310.14,3721.68
PO06436,2023-07-20,Local Supplier,Harpic Toilet Cleaner,500ml,26,81.7,2124.2
PO06437,2023-07-20,Local Supplier,Handkerchief Pack,6 pcs,75,56.83,4262.25
PO06438,2023-07-20,Local Supplier,Tang Powder,500g,41,106.0,4346.0
PO06439,2023-07-20,Nestle C&F Jaipur,Nestle Milkmaid,1kg,23,120.58,2773.34
PO06440,2023-07-20,Local Supplier,Garbage Bags,30 pcs,89,41.42,3686.38
PO06441,2023-07-20,Local Supplier,Dove Shampoo,400ml,74,126.64,9371.36
PO06442,2023-07-20,ITC Regional Depot,Sunfeast Dark Fantasy,150g,22,125.84,2768.48
PO06443,2023-07-20,Local Supplier,Dettol Handwash,200ml,98,137.42,13467.16
PO06444,2023-07-20,Local Supplier,Lux Soap,75g,92,124.84,11485.28
PO06445,2023-07-20,Local Supplier,Garbage Bags,50 pcs,87,31.37,2729.19
PO06446,2023-07-20,ITC Regional Depot,Kurkure,100g,26,43.71,1136.46
PO06447,2023-07-25,Local Supplier,MDH Red Chilli Powder,100g,22,192.44,4233.68
PO06448,2023-07-25,Local Supplier,Pantene Shampoo,370ml,28,283.86,7948.08
PO06449,2023-07-25,Local Supplier,Patanjali Kesh Kanti,200ml,86,203.93,17537.98
PO06450,2023-07-25,Amul Cooperative Jaipur,Amul Ghee,1L,37,493.57,18262.09
PO06451,2023-07-25,Local Supplier,Marico Hair Oil,100ml,82,258.94,21233.08
PO06452,2023-07-25,ITC Regional Depot,Kurkure,100g,19,43.55,827.45
PO06453,2023-07-25,Dabur Tonk Depot,Real Fruit Juice,2L,95,201.89,19179.55
PO06454,2023-07-25,Local Supplier,Lux Soap,150g,63,81.95,5162.85
PO06455,2023-07-25,Local Supplier,Vim Dish Wash,500ml,44,60.0,2640.0
PO06456,2023-07-25,Local Supplier,Patanjali Kesh Kanti,450ml,50,306.29,15314.5
PO06457,2023-07-25,Amul Cooperative Jaipur,Amul Cheese Slices,200g,27,579.25,15639.75
PO06458,2023-07-25,Local Supplier,MDH Haldi Powder,100g,60,369.45,22167.0
PO06459,2023-07-25,Local Supplier,Lizol Floor Cleaner,1L,10,124.19,1241.9
PO06460,2023-07-25,Local Supplier,Jockey Vest,M,18,246.34,4434.12
PO06461,2023-07-25,Local Supplier,Everest Sabji Masala,50g,77,229.42,17665.34
PO06462,2023-07-25,ITC Regional Depot,Fevicol Glue,500ml,71,21.61,1534.31
